"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"GenBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasI.ttf","Gentium Basic Italic","Gentium Basic","GentiumBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"GenBkBasR.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasR.ttf","Gentium Book Basic","Gentium Book Basic","GentiumBookBasic",FALSE,FALSE,FALSE,NA
NA,"GenBkBasB.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasB.ttf","Gentium Book Basic Bold","Gentium Book Basic","GentiumBookBasic-Bold",TRUE,FALSE,FALSE,NA
NA,"GenBkBasBI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasBI.ttf","Gentium Book Basic Bold Italic","Gentium Book Basic","GentiumBookBasic-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GenBkBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasI.ttf","Gentium Book Basic Italic","Gentium Book Basic","GentiumBookBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"GenI102.afm.gz","/usr/share/fonts/truetype/gentium/GenI102.ttf","Gentium Italic","Gentium","Gentium-Italic",FALSE,TRUE,FALSE,NA
NA,"ipaexg.afm.gz","/usr/share/fonts/opentype/ipaexfont-gothic/ipaexg.ttf","IPAexGothic","IPAexGothic","IPAexGothic",FALSE,FALSE,FALSE,NA
NA,"ipaexm.afm.gz","/usr/share/fonts/opentype/ipaexfont-mincho/ipaexm.ttf","IPAexMincho","IPAexMincho","IPAexMincho",FALSE,FALSE,FALSE,NA
NA,"ipag.afm.gz","/usr/share/fonts/opentype/ipafont-gothic/ipag.ttf","IPAGothic","IPAGothic","IPAGothic",FALSE,FALSE,FALSE,NA
NA,"ipam.afm.gz","/usr/share/fonts/opentype/ipafont-mincho/ipam.ttf","IPAMincho","IPAMincho","IPAMincho",FALSE,FALSE,FALSE,NA
NA,"ipagp.afm.gz","/usr/share/fonts/opentype/ipafont-gothic/ipagp.ttf","IPAPGothic","IPAPGothic","IPAPGothic",FALSE,FALSE,FALSE,NA
NA,"ipamp.afm.gz","/usr/share/fonts/opentype/ipafont-mincho/ipamp.ttf","IPAPMincho","IPAPMincho","IPAPMincho",FALSE,FALSE,FALSE,NA
NA,"Junicode.afm.gz","/usr/share/fonts/truetype/junicode/Junicode.ttf","Junicode","Junicode","Junicode",FALSE,FALSE,FALSE,NA
